iter	Passed	Remaining
0	142	142400
1	144	72242
2	147	48904
3	148	37080
4	150	29902
5	152	25196
6	153	21777
7	154	19200
8	156	17213
9	157	15636
10	159	14348
11	161	13273
12	162	12360
13	164	11584
14	167	10975
15	169	10424
16	171	9899
17	172	9426
18	174	9007
19	175	8618
20	177	8276
21	180	8029
22	182	7747
23	184	7485
24	185	7244
25	187	7020
26	189	6811
27	190	6620
28	194	6528
29	196	6356
30	198	6197
31	199	6046
32	201	5908
33	203	5776
34	205	5652
35	207	5565
36	209	5457
37	211	5350
38	213	5252
39	214	5155
40	216	5065
41	220	5027
42	222	4952
43	224	4883
44	227	4820
45	229	4757
46	231	4689
47	235	4668
48	236	4599
49	238	4529
50	239	4461
51	241	4397
52	242	4335
53	243	4273
54	246	4229
55	248	4188
56	250	4146
57	252	4093
58	253	4046
59	255	3997
60	256	3951
61	258	3910
62	261	3885
63	263	3847
64	264	3810
65	266	3770
66	268	3732
67	268	3683
68	270	3645
69	272	3616
70	273	3582
71	275	3550
72	277	3520
73	278	3487
74	280	3454
75	281	3420
76	282	3390
77	285	3369
78	286	3343
79	287	3309
80	288	3276
81	289	3243
82	290	3211
83	291	3180
84	292	3146
85	293	3116
86	293	3084
87	294	3056
88	295	3028
89	296	3001
90	299	2987
91	300	2962
92	301	2936
93	302	2911
94	303	2886
95	303	2862
96	304	2839
97	305	2815
98	306	2793
99	307	2771
100	308	2749
101	309	2724
102	310	2703
103	311	2686
104	313	2671
105	314	2652
106	315	2632
107	316	2613
108	317	2594
109	318	2575
110	319	2557
111	320	2539
112	321	2521
113	322	2503
114	323	2486
115	323	2467
116	326	2461
117	327	2451
118	329	2436
119	330	2421
120	331	2406
121	332	2390
122	332	2372
123	333	2356
124	334	2341
125	336	2333
126	337	2319
127	338	2307
128	340	2295
129	341	2282
130	341	2268
131	342	2255
132	343	2241
133	344	2228
134	345	2215
135	346	2203
136	348	2193
137	349	2181
138	350	2173
139	353	2171
140	354	2161
141	356	2152
142	357	2142
143	358	2133
144	360	2124
145	361	2115
146	362	2105
147	364	2098
148	366	2096
149	369	2094
150	371	2090
151	373	2080
152	373	2070
153	374	2059
154	375	2049
155	376	2038
156	378	2030
157	379	2022
158	380	2012
159	381	2003
160	382	1994
161	383	1984
162	384	1975
163	385	1966
164	386	1956
165	387	1947
166	388	1938
167	389	1929
168	390	1920
169	392	1915
170	393	1907
171	394	1898
172	395	1890
173	396	1881
174	397	1873
175	398	1865
176	399	1856
177	400	1848
178	401	1840
179	402	1832
180	402	1821
181	403	1814
182	405	1810
183	407	1806
184	408	1800
185	409	1793
186	410	1785
187	411	1778
188	412	1770
189	413	1763
190	414	1757
191	416	1750
192	417	1743
193	418	1737
194	420	1736
195	422	1732
196	423	1727
197	425	1722
198	426	1716
199	427	1711
200	429	1706
201	430	1702
202	432	1699
203	434	1694
204	435	1688
205	436	1683
206	437	1677
207	438	1671
208	439	1665
209	440	1658
210	441	1652
211	442	1646
212	443	1639
213	444	1633
214	446	1630
215	447	1624
216	448	1618
217	449	1612
218	450	1606
219	451	1600
220	452	1594
221	453	1588
222	454	1582
223	455	1577
224	456	1571
225	457	1565
226	458	1559
227	460	1559
228	461	1554
229	462	1549
230	464	1544
231	465	1539
232	466	1534
233	467	1530
234	468	1524
235	469	1519
236	470	1514
237	471	1508
238	473	1506
239	474	1501
240	475	1496
241	476	1491
242	477	1486
243	477	1480
244	478	1475
245	479	1470
246	480	1465
247	481	1460
248	482	1455
249	483	1450
250	484	1446
251	485	1441
252	488	1441
253	490	1440
254	491	1436
255	492	1431
256	493	1427
257	495	1425
258	497	1421
259	498	1417
260	498	1412
261	499	1408
262	500	1403
263	502	1400
264	503	1397
265	506	1397
266	508	1397
267	510	1395
268	512	1391
269	513	1388
270	514	1384
271	515	1380
272	517	1376
273	519	1375
274	520	1373
275	522	1370
276	523	1366
277	524	1362
278	525	1359
279	527	1355
280	528	1351
281	529	1348
282	530	1344
283	531	1341
284	533	1339
285	535	1335
286	536	1332
287	537	1328
288	538	1324
289	539	1320
290	540	1316
291	541	1312
292	542	1308
293	543	1304
294	544	1300
295	544	1296
296	545	1292
297	546	1288
298	548	1284
299	548	1280
300	549	1277
301	550	1273
302	551	1269
303	552	1265
304	553	1261
305	554	1258
306	555	1254
307	556	1250
308	557	1246
309	558	1243
310	559	1239
311	560	1236
312	562	1233
313	563	1230
314	564	1226
315	565	1223
