iter	Passed	Remaining
0	134	134527
1	138	68872
2	141	46929
3	143	35816
4	145	29032
5	154	25532
6	156	22266
7	158	19710
8	160	17622
9	161	15941
10	162	14567
11	163	13427
12	164	12482
13	165	11685
14	167	10990
15	169	10440
16	173	10030
17	175	9594
18	177	9188
19	180	8830
20	182	8506
21	186	8310
22	189	8043
23	191	7786
24	193	7558
25	196	7353
26	211	7606
27	225	7830
28	226	7599
29	231	7478
30	234	7340
31	239	7259
32	241	7084
33	247	7038
34	249	6883
35	268	7184
36	282	7355
37	287	7287
38	294	7250
39	299	7188
40	301	7059
41	304	6940
42	309	6892
43	314	6841
44	316	6715
45	318	6599
46	319	6484
47	321	6372
48	322	6262
49	326	6195
50	328	6108
51	330	6023
52	332	5941
53	336	5900
54	338	5824
55	341	5751
56	343	5679
57	346	5623
58	348	5555
59	349	5475
60	350	5395
61	351	5318
62	352	5243
63	353	5169
64	354	5098
65	355	5029
66	356	4966
67	357	4902
68	358	4839
69	359	4778
70	360	4720
71	361	4664
72	362	4608
73	364	4557
74	365	4510
75	367	4462
76	368	4413
77	369	4366
78	371	4326
79	372	4287
80	374	4251
81	376	4210
82	376	4162
83	379	4136
84	380	4095
85	381	4054
86	382	4013
87	383	3973
88	384	3934
89	385	3896
90	386	3864
91	389	3841
92	390	3811
93	392	3778
94	393	3747
95	394	3718
96	396	3687
97	397	3659
98	398	3629
99	400	3604
100	404	3599
101	405	3574
102	407	3547
103	408	3519
104	409	3494
105	411	3468
106	412	3442
107	413	3419
108	416	3402
109	417	3379
110	418	3355
111	420	3331
112	421	3309
113	422	3286
114	424	3263
115	425	3242
116	426	3219
117	427	3196
118	428	3175
119	430	3157
120	431	3134
121	432	3111
122	433	3089
123	434	3069
124	435	3048
125	436	3027
126	437	3006
127	438	2987
128	440	2971
129	441	2955
130	442	2937
131	443	2918
132	444	2899
133	445	2880
134	446	2862
135	447	2844
136	448	2826
137	449	2809
138	450	2793
139	452	2778
140	453	2764
141	454	2747
142	456	2734
143	457	2719
144	458	2706
145	460	2693
146	461	2679
147	462	2665
148	464	2653
149	466	2644
150	467	2630
151	469	2617
152	470	2604
153	471	2590
154	472	2578
155	474	2564
156	475	2551
157	476	2537
158	477	2523
159	478	2511
160	479	2498
161	481	2488
162	482	2477
163	483	2466
164	485	2456
165	486	2444
166	487	2433
167	489	2423
168	490	2413
169	493	2407
170	494	2397
171	496	2387
172	497	2377
173	499	2369
174	500	2359
175	501	2349
176	503	2340
177	505	2332
178	507	2328
179	509	2320
180	510	2311
181	513	2306
182	514	2298
183	516	2289
184	517	2278
185	518	2270
186	522	2271
187	524	2263
188	525	2253
189	526	2242
190	527	2232
191	528	2222
192	529	2215
193	531	2208
194	532	2199
195	533	2190
196	534	2180
197	535	2170
198	536	2160
199	537	2151
200	539	2143
201	540	2134
202	541	2125
203	542	2116
204	543	2108
205	545	2100
206	546	2093
207	547	2086
208	549	2077
209	550	2070
210	552	2066
211	554	2060
212	555	2053
213	557	2047
214	559	2043
215	561	2036
216	562	2028
217	563	2019
218	563	2011
219	564	2002
220	566	1995
221	567	1987
222	567	1979
223	568	1971
224	569	1963
225	571	1955
226	572	1949
227	574	1943
228	575	1936
229	576	1929
230	577	1921
231	578	1914
232	579	1906
233	580	1899
234	581	1892
235	582	1884
236	583	1877
237	584	1870
238	585	1863
239	586	1858
240	588	1852
241	589	1845
242	590	1838
243	591	1831
244	592	1824
245	593	1817
246	594	1810
247	594	1804
248	596	1798
249	597	1791
250	598	1784
251	599	1778
252	600	1773
253	602	1768
254	603	1762
255	604	1755
256	605	1749
257	606	1743
258	607	1738
259	608	1733
260	609	1727
261	610	1720
262	612	1715
263	615	1716
264	617	1713
265	620	1711
266	621	1707
267	623	1702
268	624	1696
269	625	1690
270	626	1685
271	627	1680
272	629	1675
273	630	1670
274	631	1665
275	632	1660
276	634	1656
277	636	1653
278	638	1649
279	639	1644
280	640	1639
281	642	1635
282	643	1630
283	644	1624
284	645	1618
285	646	1613
286	647	1607
287	648	1602
288	649	1598
289	651	1594
290	652	1590
291	653	1585
292	654	1580
293	655	1575
294	657	1570
295	658	1565
296	659	1559
297	659	1554
298	661	1549
299	661	1544
300	663	1539
301	664	1535
302	665	1530
303	666	1525
304	667	1521
305	668	1516
306	669	1511
307	671	1507
308	672	1503
309	673	1498
310	674	1493
311	675	1488
312	676	1483
313	677	1479
314	678	1475
315	680	1472
316	681	1467
317	682	1462
318	683	1458
319	684	1454
320	685	1449
321	686	1445
322	687	1440
323	688	1435
324	689	1431
325	690	1426
326	691	1423
327	693	1420
328	694	1416
329	695	1411
330	696	1407
331	697	1402
332	698	1398
333	699	1395
334	700	1391
335	701	1386
336	702	1382
337	703	1378
338	704	1373
339	706	1370
340	707	1367
341	708	1363
342	709	1359
343	710	1355
344	711	1351
345	713	1348
346	714	1344
347	715	1340
348	716	1336
349	717	1332
350	718	1329
351	720	1325
352	721	1322
353	723	1319
354	724	1316
355	725	1312
356	727	1309
357	728	1306
358	730	1303
359	731	1301
360	733	1297
361	734	1294
362	736	1291
363	737	1287
364	738	1284
365	739	1280
366	740	1276
367	741	1272
368	742	1268
369	743	1265
370	745	1263
371	746	1260
372	747	1256
373	748	1253
374	749	1249
375	750	1246
376	752	1243
377	753	1240
378	754	1236
379	755	1233
380	757	1230
381	758	1227
382	759	1224
383	760	1220
384	761	1217
385	762	1213
386	764	1210
387	765	1206
388	766	1203
389	767	1199
390	768	1196
391	769	1192
392	769	1189
393	771	1186
394	772	1183
395	773	1180
396	774	1177
397	775	1173
398	776	1170
399	779	1169
400	782	1168
401	783	1165
402	784	1162
403	786	1159
404	787	1156
405	788	1153
406	789	1150
407	790	1147
408	791	1143
409	792	1140
410	793	1137
411	794	1133
412	795	1130
413	796	1127
414	797	1123
415	799	1121
416	800	1118
417	801	1115
418	802	1112
419	803	1109
420	804	1106
421	805	1102
422	806	1099
423	807	1096
424	808	1093
425	809	1090
426	810	1087
427	811	1084
428	812	1081
429	813	1078
430	815	1076
431	816	1073
432	817	1070
433	819	1068
434	820	1065
435	822	1063
436	823	1060
437	825	1059
438	826	1056
439	827	1053
440	829	1051
441	830	1048
442	831	1045
443	832	1042
444	833	1039
445	834	1036
446	835	1034
447	837	1031
448	838	1029
449	840	1026
450	841	1023
451	842	1021
452	843	1019
453	845	1017
454	847	1014
455	848	1012
456	850	1010
457	852	1008
458	853	1006
459	854	1003
460	855	1000
461	857	998
462	858	995
463	859	992
464	860	990
465	861	987
466	862	984
467	863	981
468	865	979
469	866	977
470	867	974
471	868	971
472	869	969
473	870	966
474	871	963
475	872	960
476	873	958
477	874	955
478	875	952
479	876	949
480	878	947
481	880	945
482	881	943
483	882	940
484	883	937
485	884	934
486	885	932
487	886	929
488	887	927
489	888	924
490	889	921
491	890	919
492	891	916
493	892	914
494	893	911
495	895	909
496	896	907
497	897	904
498	899	902
499	900	900
500	902	898
501	903	896
502	905	894
503	906	892
504	907	889
505	909	887
506	910	885
507	911	882
508	912	880
509	913	877
510	914	874
511	915	872
512	916	870
513	918	868
514	919	865
515	919	862
516	920	860
517	921	857
518	922	855
519	923	852
520	924	850
521	925	847
522	926	845
523	927	842
524	929	840
525	931	839
526	933	837
527	934	835
528	935	833
529	937	831
530	938	828
531	939	826
532	940	823
533	941	821
534	942	819
535	943	816
536	945	815
537	947	813
538	949	811
539	951	810
540	952	808
541	954	806
542	955	804
543	957	802
544	959	801
545	961	799
546	962	797
547	963	795
548	964	792
549	965	790
550	966	787
551	967	785
552	969	783
553	970	781
554	971	779
555	972	776
556	973	774
557	974	772
558	975	769
559	976	767
560	977	765
561	979	763
562	980	760
563	981	758
564	982	756
565	983	753
566	984	751
567	985	749
568	986	747
569	988	745
570	989	743
571	990	741
572	992	739
573	994	738
574	996	736
575	998	734
576	999	733
577	1001	731
578	1003	729
579	1004	727
580	1005	725
581	1007	723
582	1008	721
583	1010	720
584	1012	718
585	1013	716
586	1015	714
587	1016	712
588	1017	710
589	1019	708
590	1021	706
591	1024	705
592	1026	704
593	1028	702
594	1030	701
595	1032	699
596	1035	698
597	1038	698
598	1041	697
599	1043	695
600	1045	694
601	1047	692
602	1050	691
603	1052	690
604	1054	688
605	1055	686
606	1057	684
607	1058	682
608	1060	680
609	1062	679
610	1064	677
611	1065	675
612	1066	673
613	1067	670
614	1068	668
615	1069	666
616	1070	664
617	1071	662
618	1072	659
619	1073	657
620	1074	655
621	1075	653
622	1076	651
623	1078	649
624	1079	647
625	1080	645
626	1082	643
627	1083	641
